DATASET_HEATMAP
SEPARATOR SPACE
DATASET_LABEL salt
COLOR #ff0000
FIELD_LABELS 0 2.5 5 10
COLOR_NAN #eae8e8
USE_MID_COLOR 1
COLOR_MIN #ffffff
COLOR_MAX #2E9CBD
COLOR_MID #9BD3E3
FIELD_TREE (10:0.2864506627,(5:0.09403905447,(0:0.05949137148,2.5:0.05949137148):0.03454768299):0.1924116083);
DATA
P_adeliensis_SJ14 0.666666666666667 0.666666666666667 0.666666666666667 0.333333333333333
P_aestuarii_SC35 0.833333333333333 1 1 1
P_alimentarius_JG100 0.666666666666667 0.666666666666667 0.666666666666667 0.5
P_alimentarius_JG102 0.666666666666667 0.666666666666667 0.666666666666667 0.5
P_aquaticus_CMS56 0.666666666666667 0.666666666666667 0.666666666666667 0.0833333333333333
P_aquimaris_SW-210 0.666666666666667 0.666666666666667 0.666666666666667 0.333333333333333
P_arcticus_273-4 0 0.333333333333333 0.333333333333333 0.333333333333333
P_arenosus_R7 0.666666666666667 0.833333333333333 0.666666666666667 0
P_celer_SW-238 0.333333333333333 0.666666666666667 0.5 0.5
P_cibarius_JG-219 0.666666666666667 0.666666666666667 0.5 0
P_cibarius_JG-220 0.5 0.666666666666667 0.5 0.333333333333333
P_ciconiae_176-10 0.833333333333333 0.666666666666667 0.5 0
P_cryohalolentis_K5 0.5 0.5 0.416666666666667 0
P_faecalis_Iso-46 0.666666666666667 0.833333333333333 0.5 0.333333333333333
P_faecalis_PBFP-1 0.666666666666667 0.833333333333333 0.833333333333333 0.333333333333333
P_fjordensis_BSw21516B 0.5 0.666666666666667 0.666666666666667 0.333333333333333
P_fozii_NF23 0.583333333333333 0.666666666666667 0.666666666666667 0.166666666666667
P_frigidicola_ACAM304 0.333333333333333 0.333333333333333 0 0
P_frigidicola_ACAM309 0.166666666666667 0.166666666666667 0.333333333333333 0
P_fulvigenes_KC-40 0.5 0.666666666666667 0.5 0
P_glaciei_Blc20019 0.5 0.666666666666667 0.666666666666667 0
P_glacincola_1447 0.5 0.666666666666667 0.333333333333333 0.333333333333333
P_glacincola_ACAM483 0.5 0.416666666666667 0.25 0
P_immobilis_1159 0.333333333333333 0.5 0.333333333333333 0
P_immobilis_1184 0.5 0.166666666666667 0.333333333333333 0
P_immobilis_1347 0.166666666666667 0.333333333333333 0.333333333333333 0
P_immobilis_1555 0.666666666666667 0.5 0.333333333333333 0.166666666666667
P_immobilis_1617 0.666666666666667 0.5 0.333333333333333 0
P_immobilis_1745 0.5 0.5 0.333333333333333 0.166666666666667
P_immobilis_252 0.333333333333333 0.666666666666667 0.666666666666667 0
P_immobilis_A-11 0.333333333333333 0.666666666666667 0.666666666666667 0
P_immobilis_A-19 0.666666666666667 0.666666666666667 0.5 0.166666666666667
P_immobilis_A1007 0.666666666666667 0.333333333333333 0.333333333333333 0.166666666666667
P_immobilis_A1014 0.666666666666667 0.666666666666667 0 0
P_immobilis_A351 0.666666666666667 0.666666666666667 0.333333333333333 0.333333333333333
P_immobilis_A352 0.5 0.666666666666667 0.666666666666667 0.166666666666667
P_immobilis_Liston1000 0.166666666666667 0.333333333333333 0.333333333333333 0.166666666666667
P_immobilis_NC10 0.666666666666667 0.666666666666667 0.666666666666667 0
P_immobilis_NCIMB357 0.666666666666667 0.666666666666667 0.333333333333333 0
P_immobilis_NCIMB361 0.666666666666667 0.666666666666667 0.333333333333333 0
P_immobilis_NCIMB362 0.333333333333333 0.833333333333333 0.333333333333333 0
P_immobilis_S3 0.333333333333333 0.666666666666667 0.333333333333333 0
P_jeotgali_YKJ-103 0.333333333333333 0.666666666666667 0.5 0.333333333333333
P_luti_NF11 0.5 0.5 0.333333333333333 0
P_lutiphocae_IMMIBL-1110 0.666666666666667 0.666666666666667 0.5 0
P_marincola_KMM227 0.666666666666667 0.666666666666667 0.666666666666667 0
P_maritimus_Pi2-20 0.666666666666667 0.833333333333333 0.333333333333333 0.333333333333333
P_maritimus_Pi2-25 0.666666666666667 0.833333333333333 0.833333333333333 0.166666666666667
P_namhaensis_SW-242 0 0.333333333333333 0.333333333333333 0.333333333333333
